secs,id,TTFT,TBT,total_time,total_tokens,prompt_tokens
0,contextual_01,21049.66,779.3,59309.06,421.0,372.0
1,contextual_01,21049.66,779.3,59309.06,421.0,372.0
2,contextual_01,21049.66,779.3,59309.06,421.0,372.0
3,contextual_01,21049.66,779.3,59309.06,421.0,372.0
4,contextual_01,21049.66,779.3,59309.06,421.0,372.0
5,contextual_01,21049.66,779.3,59309.06,421.0,372.0
6,contextual_01,21049.66,779.3,59309.06,421.0,372.0
7,contextual_01,21049.66,779.3,59309.06,421.0,372.0
8,contextual_01,21049.66,779.3,59309.06,421.0,372.0
9,contextual_01,21049.66,779.3,59309.06,421.0,372.0
10,contextual_01,21049.66,779.3,59309.06,421.0,372.0
11,contextual_01,21049.66,779.3,59309.06,421.0,372.0
12,contextual_01,21049.66,779.3,59309.06,421.0,372.0
13,contextual_01,21049.66,779.3,59309.06,421.0,372.0
14,contextual_01,21049.66,779.3,59309.06,421.0,372.0
15,contextual_01,21049.66,779.3,59309.06,421.0,372.0
16,contextual_01,21049.66,779.3,59309.06,421.0,372.0
17,contextual_01,21049.66,779.3,59309.06,421.0,372.0
18,contextual_01,21049.66,779.3,59309.06,421.0,372.0
19,contextual_01,21049.66,779.3,59309.06,421.0,372.0
20,contextual_01,21049.66,779.3,59309.06,421.0,372.0
21,contextual_01,21049.66,779.3,59309.06,421.0,372.0
22,contextual_01,21049.66,779.3,59309.06,421.0,372.0
23,contextual_01,21049.66,779.3,59309.06,421.0,372.0
24,contextual_01,21049.66,779.3,59309.06,421.0,372.0
25,contextual_01,21049.66,779.3,59309.06,421.0,372.0
26,contextual_01,21049.66,779.3,59309.06,421.0,372.0
27,contextual_01,21049.66,779.3,59309.06,421.0,372.0
28,contextual_01,21049.66,779.3,59309.06,421.0,372.0
29,contextual_01,21049.66,779.3,59309.06,421.0,372.0
30,contextual_01,21049.66,779.3,59309.06,421.0,372.0
31,contextual_01,21049.66,779.3,59309.06,421.0,372.0
32,contextual_01,21049.66,779.3,59309.06,421.0,372.0
33,contextual_01,21049.66,779.3,59309.06,421.0,372.0
34,contextual_01,21049.66,779.3,59309.06,421.0,372.0
35,contextual_01,21049.66,779.3,59309.06,421.0,372.0
36,contextual_01,21049.66,779.3,59309.06,421.0,372.0
37,contextual_01,21049.66,779.3,59309.06,421.0,372.0
38,contextual_01,21049.66,779.3,59309.06,421.0,372.0
39,contextual_01,21049.66,779.3,59309.06,421.0,372.0
40,contextual_01,21049.66,779.3,59309.06,421.0,372.0
41,contextual_01,21049.66,779.3,59309.06,421.0,372.0
42,contextual_01,21049.66,779.3,59309.06,421.0,372.0
43,contextual_01,21049.66,779.3,59309.06,421.0,372.0
44,contextual_01,21049.66,779.3,59309.06,421.0,372.0
45,contextual_01,21049.66,779.3,59309.06,421.0,372.0
46,contextual_01,21049.66,779.3,59309.06,421.0,372.0
47,contextual_01,21049.66,779.3,59309.06,421.0,372.0
48,contextual_01,21049.66,779.3,59309.06,421.0,372.0
49,contextual_01,21049.66,779.3,59309.06,421.0,372.0
50,contextual_01,21049.66,779.3,59309.06,421.0,372.0
51,contextual_01,21049.66,779.3,59309.06,421.0,372.0
52,contextual_01,21049.66,779.3,59309.06,421.0,372.0
53,contextual_01,21049.66,779.3,59309.06,421.0,372.0
54,contextual_01,21049.66,779.3,59309.06,421.0,372.0
55,contextual_01,21049.66,779.3,59309.06,421.0,372.0
56,contextual_01,21049.66,779.3,59309.06,421.0,372.0
57,contextual_01,21049.66,779.3,59309.06,421.0,372.0
58,contextual_01,21049.66,779.3,59309.06,421.0,372.0
59,contextual_01,21049.66,779.3,59309.06,421.0,372.0
60,contextual_01,21049.66,779.3,59309.06,421.0,372.0
61,contextual_01,21049.66,779.3,59309.06,421.0,372.0
62,contextual_01,21049.66,779.3,59309.06,421.0,372.0
63,contextual_01,21049.66,779.3,59309.06,421.0,372.0
64,contextual_01,21049.66,779.3,59309.06,421.0,372.0
65,contextual_01,21049.66,779.3,59309.06,421.0,372.0
66,contextual_01,21049.66,779.3,59309.06,421.0,372.0
67,contextual_01,21049.66,779.3,59309.06,421.0,372.0
68,contextual_01,21049.66,779.3,59309.06,421.0,372.0
69,contextual_01,21049.66,779.3,59309.06,421.0,372.0
70,contextual_01,21049.66,779.3,59309.06,421.0,372.0
71,contextual_01,21049.66,779.3,59309.06,421.0,372.0
72,contextual_01,21049.66,779.3,59309.06,421.0,372.0
73,contextual_01,21049.66,779.3,59309.06,421.0,372.0
74,contextual_01,21049.66,779.3,59309.06,421.0,372.0
75,contextual_01,21049.66,779.3,59309.06,421.0,372.0
76,contextual_01,21049.66,779.3,59309.06,421.0,372.0
77,contextual_01,21049.66,779.3,59309.06,421.0,372.0
78,contextual_01,21049.66,779.3,59309.06,421.0,372.0
79,contextual_01,21049.66,779.3,59309.06,421.0,372.0
80,contextual_01,21049.66,779.3,59309.06,421.0,372.0
81,contextual_01,21049.66,779.3,59309.06,421.0,372.0
82,contextual_01,21049.66,779.3,59309.06,421.0,372.0
83,contextual_01,21049.66,779.3,59309.06,421.0,372.0
84,contextual_01,21049.66,779.3,59309.06,421.0,372.0
