secs,id,TTFT,TBT,total_time,total_tokens,prompt_tokens
0,complex_00,4561.46,375.55,17003.51,81.0,48.0
1,complex_00,4561.46,375.55,17003.51,81.0,48.0
2,complex_00,4561.46,375.55,17003.51,81.0,48.0
3,complex_00,4561.46,375.55,17003.51,81.0,48.0
4,complex_00,4561.46,375.55,17003.51,81.0,48.0
5,complex_00,4561.46,375.55,17003.51,81.0,48.0
6,complex_00,4561.46,375.55,17003.51,81.0,48.0
7,complex_00,4561.46,375.55,17003.51,81.0,48.0
8,complex_00,4561.46,375.55,17003.51,81.0,48.0
9,complex_00,4561.46,375.55,17003.51,81.0,48.0
10,complex_00,4561.46,375.55,17003.51,81.0,48.0
11,complex_00,4561.46,375.55,17003.51,81.0,48.0
12,complex_00,4561.46,375.55,17003.51,81.0,48.0
13,complex_00,4561.46,375.55,17003.51,81.0,48.0
14,complex_00,4561.46,375.55,17003.51,81.0,48.0
15,complex_00,4561.46,375.55,17003.51,81.0,48.0
16,complex_00,4561.46,375.55,17003.51,81.0,48.0
17,complex_00,4561.46,375.55,17003.51,81.0,48.0
18,complex_00,4561.46,375.55,17003.51,81.0,48.0
19,complex_00,4561.46,375.55,17003.51,81.0,48.0
20,complex_00,4561.46,375.55,17003.51,81.0,48.0
21,complex_00,4561.46,375.55,17003.51,81.0,48.0
22,complex_00,4561.46,375.55,17003.51,81.0,48.0
23,complex_00,4561.46,375.55,17003.51,81.0,48.0
24,complex_00,4561.46,375.55,17003.51,81.0,48.0
25,complex_00,4561.46,375.55,17003.51,81.0,48.0
26,complex_00,4561.46,375.55,17003.51,81.0,48.0
27,complex_00,4561.46,375.55,17003.51,81.0,48.0
28,complex_00,4561.46,375.55,17003.51,81.0,48.0
29,complex_00,4561.46,375.55,17003.51,81.0,48.0
30,complex_00,4561.46,375.55,17003.51,81.0,48.0
31,complex_00,4561.46,375.55,17003.51,81.0,48.0
32,complex_00,4561.46,375.55,17003.51,81.0,48.0
33,complex_00,4561.46,375.55,17003.51,81.0,48.0
34,complex_00,4561.46,375.55,17003.51,81.0,48.0
35,complex_00,4561.46,375.55,17003.51,81.0,48.0
36,complex_00,4561.46,375.55,17003.51,81.0,48.0
37,complex_00,4561.46,375.55,17003.51,81.0,48.0
38,complex_01,3968.9,368.43,15064.35,62.0,32.0
39,complex_01,3968.9,368.43,15064.35,62.0,32.0
40,complex_01,3968.9,368.43,15064.35,62.0,32.0
41,complex_01,3968.9,368.43,15064.35,62.0,32.0
42,complex_01,3968.9,368.43,15064.35,62.0,32.0
43,complex_01,3968.9,368.43,15064.35,62.0,32.0
44,complex_01,3968.9,368.43,15064.35,62.0,32.0
45,complex_01,3968.9,368.43,15064.35,62.0,32.0
46,complex_01,3968.9,368.43,15064.35,62.0,32.0
47,complex_01,3968.9,368.43,15064.35,62.0,32.0
48,complex_01,3968.9,368.43,15064.35,62.0,32.0
49,complex_01,3968.9,368.43,15064.35,62.0,32.0
50,complex_01,3968.9,368.43,15064.35,62.0,32.0
51,complex_01,3968.9,368.43,15064.35,62.0,32.0
52,complex_01,3968.9,368.43,15064.35,62.0,32.0
53,complex_01,3968.9,368.43,15064.35,62.0,32.0
54,complex_01,3968.9,368.43,15064.35,62.0,32.0
55,complex_01,3968.9,368.43,15064.35,62.0,32.0
56,complex_01,3968.9,368.43,15064.35,62.0,32.0
57,complex_01,3968.9,368.43,15064.35,62.0,32.0
58,complex_01,3968.9,368.43,15064.35,62.0,32.0
59,complex_01,3968.9,368.43,15064.35,62.0,32.0
60,complex_01,3968.9,368.43,15064.35,62.0,32.0
61,complex_01,3968.9,368.43,15064.35,62.0,32.0
62,complex_01,3968.9,368.43,15064.35,62.0,32.0
63,complex_01,3968.9,368.43,15064.35,62.0,32.0
64,complex_01,3968.9,368.43,15064.35,62.0,32.0
65,complex_01,3968.9,368.43,15064.35,62.0,32.0
66,complex_01,3968.9,368.43,15064.35,62.0,32.0
67,complex_01,3968.9,368.43,15064.35,62.0,32.0
68,complex_01,3968.9,368.43,15064.35,62.0,32.0
69,complex_01,3968.9,368.43,15064.35,62.0,32.0
70,complex_01,3968.9,368.43,15064.35,62.0,32.0
71,complex_01,3968.9,368.43,15064.35,62.0,32.0
72,complex_10,4214.39,369.0,21992.18,83.0,35.0
73,complex_10,4214.39,369.0,21992.18,83.0,35.0
74,complex_10,4214.39,369.0,21992.18,83.0,35.0
75,complex_10,4214.39,369.0,21992.18,83.0,35.0
76,complex_10,4214.39,369.0,21992.18,83.0,35.0
77,complex_10,4214.39,369.0,21992.18,83.0,35.0
78,complex_10,4214.39,369.0,21992.18,83.0,35.0
79,complex_10,4214.39,369.0,21992.18,83.0,35.0
80,complex_10,4214.39,369.0,21992.18,83.0,35.0
81,complex_10,4214.39,369.0,21992.18,83.0,35.0
82,complex_10,4214.39,369.0,21992.18,83.0,35.0
83,complex_10,4214.39,369.0,21992.18,83.0,35.0
84,complex_10,4214.39,369.0,21992.18,83.0,35.0
85,complex_10,4214.39,369.0,21992.18,83.0,35.0
86,complex_10,4214.39,369.0,21992.18,83.0,35.0
87,complex_10,4214.39,369.0,21992.18,83.0,35.0
88,complex_10,4214.39,369.0,21992.18,83.0,35.0
89,complex_10,4214.39,369.0,21992.18,83.0,35.0
90,complex_10,4214.39,369.0,21992.18,83.0,35.0
91,complex_10,4214.39,369.0,21992.18,83.0,35.0
92,complex_10,4214.39,369.0,21992.18,83.0,35.0
93,complex_10,4214.39,369.0,21992.18,83.0,35.0
94,complex_10,4214.39,369.0,21992.18,83.0,35.0
95,complex_10,4214.39,369.0,21992.18,83.0,35.0
96,complex_10,4214.39,369.0,21992.18,83.0,35.0
97,complex_10,4214.39,369.0,21992.18,83.0,35.0
98,complex_10,4214.39,369.0,21992.18,83.0,35.0
99,complex_10,4214.39,369.0,21992.18,83.0,35.0
100,complex_10,4214.39,369.0,21992.18,83.0,35.0
101,complex_10,4214.39,369.0,21992.18,83.0,35.0
102,complex_10,4214.39,369.0,21992.18,83.0,35.0
103,complex_10,4214.39,369.0,21992.18,83.0,35.0
104,complex_10,4214.39,369.0,21992.18,83.0,35.0
105,complex_10,4214.39,369.0,21992.18,83.0,35.0
106,complex_10,4214.39,369.0,21992.18,83.0,35.0
107,complex_10,4214.39,369.0,21992.18,83.0,35.0
108,complex_10,4214.39,369.0,21992.18,83.0,35.0
109,complex_10,4214.39,369.0,21992.18,83.0,35.0
110,complex_10,4214.39,369.0,21992.18,83.0,35.0
111,complex_10,4214.39,369.0,21992.18,83.0,35.0
112,complex_10,4214.39,369.0,21992.18,83.0,35.0
113,complex_10,4214.39,369.0,21992.18,83.0,35.0
114,complex_10,4214.39,369.0,21992.18,83.0,35.0
115,complex_10,4214.39,369.0,21992.18,83.0,35.0
116,complex_10,4214.39,369.0,21992.18,83.0,35.0
117,complex_10,4214.39,369.0,21992.18,83.0,35.0
118,complex_10,4214.39,369.0,21992.18,83.0,35.0
119,complex_10,4214.39,369.0,21992.18,83.0,35.0
120,complex_11,4173.0,369.92,29787.67,102.0,33.0
121,complex_11,4173.0,369.92,29787.67,102.0,33.0
122,complex_11,4173.0,369.92,29787.67,102.0,33.0
123,complex_11,4173.0,369.92,29787.67,102.0,33.0
124,complex_11,4173.0,369.92,29787.67,102.0,33.0
125,complex_11,4173.0,369.92,29787.67,102.0,33.0
126,complex_11,4173.0,369.92,29787.67,102.0,33.0
