id,cpu_per_max,cpu_per_av,cpu_mem_max,cpu_mem_av,gpu_mem_max,gpu_mem_av,gpu_per_max,gpu_per_ave,generation_throughput,prompt_eval_throughput
complex_00,346.74027339642515,285.65661719540935,1042.6484375,996.8889802631579,2109.578125,1661.8125,94.2,12.515789473684213,2.66,10.52
complex_01,341.3325471698106,273.9252506013563,1041.03125,989.0565257352941,2109.578125,1608.4283088235295,99.7,19.188235294117646,2.71,8.06
complex_10,353.38628762541697,295.0781257749973,1040.953125,1003.7698567708334,2109.578125,1754.263671875,80.7,10.708333333333334,2.71,8.3
complex_11,360.3378167031615,309.593358716005,1040.8203125,1013.0780029296875,2109.578125,1843.21728515625,92.4,6.934375,2.7,7.91
complex_12,339.1780821917865,257.5687470285312,1041.0546875,955.2008928571429,580.078125,542.1212797619048,33.5,7.776190476190477,2.75,4.16
complex_13,358.5680190930819,299.5977185646904,1042.12109375,998.8467261904761,580.078125,561.0997023809524,37.0,2.8476190476190473,2.67,4.14
complex_14,351.7890772128097,286.2187190082298,1041.078125,984.946044921875,580.078125,555.1689453125,21.0,1.3125,2.75,4.11
complex_15,365.30612244898145,316.09882090357945,1041.23828125,1009.1809895833334,580.078125,565.813322368421,31.3,1.256140350877193,2.69,4.13
complex_16,368.40148698884974,327.19185373535174,1043.09765625,1016.9456473214286,580.078125,568.4625,45.1,1.7514285714285711,2.65,4.17
complex_17,365.6886434242345,318.38140104398207,1041.34375,1009.8430765086207,580.078125,566.3351293103449,33.2,4.8517241379310345,2.71,4.19
complex_18,352.9226901319957,288.1901554921823,1041.22265625,984.219970703125,580.078125,554.9189453125,36.6,2.2875,2.77,4.16
complex_19,361.63954943679556,313.2556007027064,1040.515625,1013.3636474609375,2109.578125,1843.59228515625,84.6,5.915625,2.67,8.59
complex_02,349.0215755143029,287.568425622727,1041.1796875,997.0796875,2109.578125,1683.60078125,99.7,16.290000000000003,2.7,8.64
complex_20,334.29144385026655,258.07270448150035,1041.140625,979.706088362069,2109.578125,1521.7473060344828,62.9,9.379310344827585,2.73,8.18
complex_21,292.2012578616419,210.10890444139838,1042.96484375,932.25830078125,2109.578125,1044.134765625,85.1,39.1875,2.69,8.81
complex_22,365.3858572812369,321.52312091496634,1043.8515625,1014.1040826612904,580.078125,566.9637096774194,41.5,2.12258064516129,2.64,4.15
complex_23,361.2781954887261,312.36354217435127,1043.3828125,1015.57666015625,2109.578125,1843.34228515625,99.7,10.968750000000002,2.65,8.55
complex_24,359.6722803823354,302.96186349638157,1043.55078125,1001.1176417151163,580.078125,561.3550145348837,32.9,1.5302325581395348,2.71,4.16
complex_25,369.27038626609635,328.72390725290785,1042.015625,1016.1556919642857,580.078125,568.8053571428571,15.3,0.5657142857142857,2.71,4.17
complex_26,368.3819325328758,326.4436313092764,1041.61328125,1015.4821428571429,580.078125,568.4625,39.1,1.1171428571428572,2.69,4.13
complex_27,368.7249857061176,327.35175632990484,1041.26953125,1014.9720982142857,580.078125,568.4625,33.1,5.317142857142858,2.68,4.16
complex_28,360.57571964956156,310.16401428475723,1041.11328125,1013.3878173828125,2109.578125,1843.21728515625,99.7,10.196875000000002,2.67,8.47
complex_29,368.19221967963347,325.4003098995762,1041.265625,1015.1621651785714,580.078125,568.5767857142857,2.3,0.1942857142857143,2.62,4.16
complex_03,368.7371209891053,327.9405460677148,1040.24609375,1013.4563316231344,580.078125,568.3006063432836,42.2,7.0835820895522374,2.71,4.14
complex_30,360.2190923317704,309.1563602336273,1043.6953125,1015.4935302734375,2109.578125,1843.09228515625,53.6,6.1499999999999995,2.66,9.29
complex_31,368.2208237986266,326.7914446760252,1042.3359375,1015.9294642857143,580.078125,568.4625,37.9,6.025714285714284,2.68,4.15
complex_32,368.08693165570696,325.16757957245665,1041.5703125,1015.013134057971,580.078125,568.2941576086956,43.0,1.2463768115942029,2.69,4.12
complex_33,361.9047619047591,316.76273899517884,1042.8203125,1016.3077651515151,2109.578125,1851.53125,67.5,6.124242424242423,2.61,10.72
complex_34,359.73091364205214,307.5425570590363,1042.9375,1014.548583984375,2109.578125,1842.96728515625,99.7,11.793750000000001,2.69,7.93
complex_35,363.44086021505035,313.8601165280435,1041.47265625,1007.4466145833334,580.078125,564.8726851851852,33.7,6.307407407407407,2.7,4.13
complex_36,359.83709273182876,308.659735667193,1041.59765625,1013.557861328125,2109.578125,1843.09228515625,69.1,7.200000000000001,2.69,8.13
complex_37,360.8101957214341,307.4769353826815,1044.15625,1002.8020241477273,580.078125,562.1441761363636,18.7,0.9500000000000001,2.72,4.14
complex_38,358.216970998928,305.0651878131068,1042.02734375,996.5942471590909,2109.578125,1793.7028409090908,99.7,7.341818181818181,2.7,9.47
complex_39,364.2912172573184,316.53521085656945,1043.49609375,1008.5006009615385,580.078125,564.7493990384615,28.1,1.7038461538461536,2.64,4.13
complex_04,360.8695652173936,311.91374307210396,1040.625,1013.1787109375,2109.578125,1843.34228515625,99.7,8.184375,2.66,8.14
complex_40,361.0763454317945,311.5024850452553,1041.34375,1013.483642578125,2109.578125,1843.21728515625,87.5,10.434375000000003,2.69,8.04
complex_41,360.4316546762613,310.0643453031631,1041.1953125,1013.4000244140625,2109.578125,1843.34228515625,99.7,9.065625,2.67,8.11
complex_42,298.869346733667,216.14455959725464,1043.08203125,932.423828125,2109.578125,1202.822265625,99.7,26.662499999999994,2.75,8.74
complex_43,350.2341137123788,282.7028702461629,1040.765625,980.8513020833333,580.078125,553.5083333333333,30.0,2.293333333333334,2.67,4.16
complex_44,346.6131460110415,282.1979129839133,1041.3125,997.2591796875,2109.578125,1683.60078125,52.9,6.9799999999999995,2.64,7.65
complex_45,355.12249443207054,292.7318951640484,1040.80078125,990.4409722222222,580.078125,557.7144097222222,42.3,3.249999999999999,2.76,4.17
complex_46,369.1559370529299,330.1120445196967,1041.80859375,1005.262764084507,580.078125,564.0338908450705,38.6,4.180281690140845,2.63,4.15
complex_47,360.6141522029368,310.36672364037224,1042.72265625,1013.0609375,2109.578125,1825.4598958333333,86.9,8.413333333333334,2.67,9.39
complex_48,368.45118809046835,326.23318795467236,1041.11328125,1014.6485491071429,580.078125,568.3482142857143,32.6,1.06,2.72,4.13
complex_49,360.25641025641005,309.18451326279234,1041.32421875,1013.5703125,2109.578125,1843.34228515625,99.7,8.940625,2.67,8.58
complex_05,360.65060994682227,310.2500570264599,1040.11328125,1012.55517578125,2109.578125,1850.07666015625,59.4,5.7125,2.67,8.44
