secs,id,cpu_per,cpu_mem,gpu_mem,gpu_per,generation_throughput,prompt_eval_throughput
0,complex_00,91.0,184.6484375,193.53125,32.8,2.66,10.52
1,complex_00,91.0,184.6484375,193.53125,32.8,2.66,10.52
2,complex_00,132.33830845772704,1035.9453125,580.078125,0.0,2.66,10.52
3,complex_00,132.33830845772704,1035.9453125,580.078125,0.0,2.66,10.52
4,complex_00,204.33333333333334,1041.015625,844.078125,23.1,2.66,10.52
5,complex_00,204.33333333333334,1041.015625,844.078125,23.1,2.66,10.52
6,complex_00,238.40399002495172,1041.53125,844.078125,94.2,2.66,10.52
7,complex_00,238.40399002495172,1041.53125,844.078125,94.2,2.66,10.52
8,complex_00,259.28143712576076,1041.53125,844.078125,56.6,2.66,10.52
9,complex_00,259.28143712576076,1041.53125,844.078125,56.6,2.66,10.52
10,complex_00,274.043261231292,1041.7890625,844.078125,26.6,2.66,10.52
11,complex_00,274.043261231292,1041.7890625,844.078125,26.6,2.66,10.52
12,complex_00,285.73466476463165,1042.6484375,2109.578125,0.0,2.66,10.52
13,complex_00,285.73466476463165,1042.6484375,2109.578125,0.0,2.66,10.52
14,complex_00,297.7528089887728,1042.6484375,2109.578125,0.0,2.66,10.52
15,complex_00,297.7528089887728,1042.6484375,2109.578125,0.0,2.66,10.52
16,complex_00,307.2142064373,1042.6484375,2109.578125,0.0,2.66,10.52
17,complex_00,307.2142064373,1042.6484375,2109.578125,0.0,2.66,10.52
18,complex_00,314.4855144855219,1042.6484375,2109.578125,0.0,2.66,10.52
19,complex_00,314.4855144855219,1042.6484375,2109.578125,0.0,2.66,10.52
20,complex_00,320.79927338783614,1042.6484375,2109.578125,2.3,2.66,10.52
21,complex_00,320.79927338783614,1042.6484375,2109.578125,2.3,2.66,10.52
22,complex_00,325.9783513738615,1042.6484375,2109.578125,0.0,2.66,10.52
23,complex_00,325.9783513738615,1042.6484375,2109.578125,0.0,2.66,10.52
24,complex_00,330.2843966179922,1042.6484375,2109.578125,0.0,2.66,10.52
25,complex_00,330.2843966179922,1042.6484375,2109.578125,0.0,2.66,10.52
26,complex_00,334.11848679515197,1042.6484375,2109.578125,0.0,2.66,10.52
27,complex_00,334.11848679515197,1042.6484375,2109.578125,0.0,2.66,10.52
28,complex_00,337.5083277814843,1042.6484375,2109.578125,0.0,2.66,10.52
29,complex_00,337.5083277814843,1042.6484375,2109.578125,0.0,2.66,10.52
30,complex_00,340.1373283395759,1042.6484375,2109.578125,0.0,2.66,10.52
31,complex_00,340.1373283395759,1042.6484375,2109.578125,0.0,2.66,10.52
32,complex_00,342.5381903642777,1042.6484375,2109.578125,2.2,2.66,10.52
33,complex_00,342.5381903642777,1042.6484375,2109.578125,2.2,2.66,10.52
34,complex_00,344.78357380688163,1042.6484375,2109.578125,0.0,2.66,10.52
35,complex_00,344.78357380688163,1042.6484375,2109.578125,0.0,2.66,10.52
36,complex_00,346.74027339642515,1042.6484375,2109.578125,0.0,2.66,10.52
37,complex_00,346.74027339642515,1042.6484375,2109.578125,0.0,2.66,10.52
38,complex_01,80.0,165.38671875,181.53125,28.4,2.71,8.06
39,complex_01,80.0,165.38671875,181.53125,28.4,2.71,8.06
40,complex_01,114.8717948717788,1035.85546875,580.078125,0.0,2.71,8.06
41,complex_01,114.8717948717788,1035.85546875,580.078125,0.0,2.71,8.06
42,complex_01,195.59322033896493,1039.69921875,844.078125,99.7,2.71,8.06
43,complex_01,195.59322033896493,1039.69921875,844.078125,99.7,2.71,8.06
44,complex_01,231.3131313131292,1040.47265625,844.078125,99.7,2.71,8.06
45,complex_01,231.3131313131292,1040.47265625,844.078125,99.7,2.71,8.06
46,complex_01,252.41935483870782,1040.47265625,844.078125,13.5,2.71,8.06
47,complex_01,252.41935483870782,1040.47265625,844.078125,13.5,2.71,8.06
48,complex_01,267.11409395972987,1040.73046875,844.078125,84.9,2.71,8.06
49,complex_01,267.11409395972987,1040.73046875,844.078125,84.9,2.71,8.06
50,complex_01,282.7586206896537,1041.03125,2109.578125,0.0,2.71,8.06
51,complex_01,282.7586206896537,1041.03125,2109.578125,0.0,2.71,8.06
